id	verb	transitive	derived	type
1	اِسْتَعْمَلَ	1	مُسْتَعْمِلٌ	Subject
2	اِسْتَعْمَلَ	1	مُسْتَعْمَلٌ	Predicate
4	شَرَّحَ	1	مُشَرِّحٌ	Subject
5	شَرَّحَ	1	مُشَرَّحٌ	Predicate
6	شَرَّحَ	1	تَشْرِيحٌ	Added
7	نَشَّطَ	1	مُنَشِّطٌ	Subject
8	نَشَّطَ	1	مُنَشَّطٌ	Predicate
9	نَشَّطَ	1	تَنْشِيطٌ	Added
12	اِسْتَعْمَلَ	1	اِسْتِعْمَالٌ	Added
13	اِرْتَهَنَ	1	مُرْتَهَنٌ	Predicate
14	اِنْعَطَفَ	1	مُنْعَطَفٌ	Predicate
15	اِسْتَحَبَّ	1	مُسْتَحَبٌّ	Predicate
16	سَطَّحَ	1	مُسَطَّحٌ	Predicate
17	سَلَّ	1	مَسْلُولٌ	Predicate
18	سَمَّ	1	مَسْمُومٌ	Predicate
19	طَوَّقَ	1	مُطَوَّقٌ	Predicate
20	طَوَّلَ	1	مُطَوَّلٌ	Predicate
21	عَزَّزَ	1	مُعَزَّزٌ	Predicate
22	تَثَاءَبَ	1	مَثْؤُوبٌ	Predicate
23	رَبَّعَ	1	مُرَبَّعٌ	Predicate
24	عَبَّدَ	1	مُعَبَّدٌ	Predicate
25	عَشِقَ	1	مَعْشُوقٌ	Predicate
26	أَبْطَلَ	1	مُبْطَلٌ	Predicate
27	أَبْعَدَ	1	مُبْعَدُ	Predicate
28	أَبْغَضَ	1	مُبْغَضٌ	Predicate
29	أَبْهَمَ	1	مُبْهَمٌ	Predicate
30	أَتاحَ	1	مُتَاحٌ	Predicate
31	أَتْرَبَ	1	مُتْرَبٌ	Predicate
32	أَتْرَعَ	1	مُتْرَعٌ	Predicate
33	أَتْرَفَ	1	مُتْرَفٌ	Predicate
34	أَتْعَبَ	1	مُتْعَبٌ	Predicate
35	أَتْقَنَ	1	مُتْقَنٌ	Predicate
36	أَثْبَتَ	1	مُثْبَتٌ	Predicate
37	أَثْخَنَ	1	مُثْخَنٌ	Predicate
38	أَثْقَلَ	1	مُثْقَلٌ	Predicate
39	أَجْبَرَ	1	مُجْبَرٌ	Predicate
40	أَجَّرَ	1	مُؤَجَّرٌ	Predicate
41	أَجَّلَ	1	مُؤَجَّلٌ	Predicate
42	أَجْمَلَ	1	مُجْمَلٌ	Predicate
43	أَجَنَّ	1	مَجْنُونٌ	Predicate
44	أَجْهَضَ	1	مُجْهَضٌ	Predicate
45	أَحَاطَ	1	مُحَاطٌ	Predicate
46	أَحْدَثَ	1	مُحْدَثٌ	Predicate
47	أَحْصَنَ	1	مُحْصَنٌ	Predicate
48	أَحْكَمَ	1	مُحْكَمٌ	Predicate
49	أَخَّرَ	1	مُؤَخَّرٌ	Predicate
50	أَدَانَ	1	مُدَانٌ	Predicate
51	أَدَّبَ	1	مُؤَدَّبٌ	Predicate
52	أَدْرَجَ	1	مُدْرَجٌ	Predicate
53	أَدْرَكَ	1	مُدْرَكٌ	Predicate
54	أَدْمَجَ	1	مُدْمَجٌ	Predicate
55	أَدَّى	1	مُؤَدّىً	Predicate
56	أَرَادَ	1	مُرَادٌ	Predicate
57	أَرْسَلَ	1	مُرْسَلٌ	Predicate
58	أَرْغَمَ	1	مُرْغَمٌ	Predicate
59	أَرْفَقَ	1	مُرْفَقٌ	Predicate
60	أَرَّقَ	1	مُؤَرَّقٌ	Predicate
61	أَرْهَفَ	1	مُرْهَفٌ	Predicate
62	أَرْهَقَ	1	مُرْهَقٌ	Predicate
63	أَزَاحَ	1	مُزَاحٌ	Predicate
64	أَزْمَعَ	1	مُزْمَعٌ	Predicate
65	أَسَبَعَ	1	مُسْبَعٌ	Predicate
66	أَسْدَلَ	1	مُسْدَلٌ	Predicate
67	أَسْعَدَ	1	مَسْعُودٌ	Predicate
68	أَسْعَفَ	1	مُسْعَفٌ	Predicate
69	أسْهَبَ	1	مُسْهَبٌ	Predicate
70	أَشْبَعَ	1	مُشْبَعٌ	Predicate
71	أصابَ	1	مُصَابٌ	Predicate
72	أَضْمَرَ	1	مُضْمَرٌ	Predicate
73	أَضْنَى	1	مُضْنىً	Predicate
74	أَطْفَأَ	1	مُطْفَأٌ	Predicate
75	أَطْلَقَ	1	مُطْلَقٌ	Predicate
76	أَعَارَ	1	مُعَارٌ	Predicate
77	أَعَاقَ	1	مُعَاقٌ	Predicate
78	أَعْتَقَ	1	مُعْتَقٌ	Predicate
79	أَعْجَبَ	1	مُعْجَبٌ	Predicate
80	أَعَدَّ	1	مُعَدٌّ	Predicate
81	أَعْطَى	1	مُعْطىً	Predicate
82	أَعْفَى	1	مُعْفىً	Predicate
83	أَعْلَنَ	1	مُعْلَنٌ	Predicate
84	أَغْرَمَ	1	مُغْرَمٌ	Predicate
85	أَغْفَلَ	1	مُغْفَلٌ	Predicate
86	أَغْلَقَ	1	مُغْلَقٌ	Predicate
87	أَغْمَدَ	1	مُغْمَدٌ	Predicate
88	أُغْمِيَ	1	مُغْمىً	Predicate
89	أَفْحَمَ	1	مُفْحَمٌ	Predicate
90	أَفْرَدَ	1	مُفْرَدٌ	Predicate
91	أَفْرَغَ	1	مُفْرَغٌ	Predicate
92	أَفْعَمَ	1	مُفْعَمٌ	Predicate
93	أَقْعَدَ	1	مُقْعَدٌ	Predicate
94	أَقْفَلَ	1	مُقْفَلٌ	Predicate
95	أَكَّدَ	1	مُؤَكَّدٌ	Predicate
96	أَكْرَهَ	1	مُكْرَهٌ	Predicate
97	أَكَلَ	1	مَأْكُولٌ	Predicate
98	أَلْجَمَ	1	مُلْجَمٌ	Predicate
99	أَلْحَقَ	1	مُلْحَقٌ	Predicate
100	أَلْزَمَ	1	مُلْزَمٌ	Predicate
101	أَلْصَقَ	1	مُلْصَقٌ	Predicate
102	أَلْغَزَ	1	مُلْغَزٌ	Predicate
103	أَلْغَى	1	مُلْغىً	Predicate
104	أَلِفَ	1	مَأْلُوفٌ	Predicate
105	أَلَّفَ	1	مُؤَلَّفٌ	Predicate
106	أَلْقَى	1	مُلْقىً	Predicate
107	أَلْهَمَ	1	مُلْهَمٌ	Predicate
108	أمَرَ	1	مَأْمُورٌ	Predicate
109	أَمَّلَ	1	مُؤَمَّلٌ	Predicate
110	أَمَّمَ	1	مُؤَمَّمٌ	Predicate
111	أَمِنَ	1	مَأْمُونٌ	Predicate
112	أَمَّنَ	1	مُؤَمَّنٌ	Predicate
113	أَنَّثَ	1	مُؤَنَّثٌ	Predicate
114	أَنْجَزَ	1	مُنْجَزٌ	Predicate
115	أَنْزَلَ	1	مُنْزَلٌ	Predicate
116	أَنْشَأَ	1	مَنْشَأٌ	Predicate
117	أَنْقَعَ	1	مُنْقَعٌ	Predicate
118	أَنْكَرَ	1	مُنْكَرٌ	Predicate
119	أَنْهَكَ	1	مُنْهَكٌ	Predicate
120	أَهَانَ	1	مُهَانٌ	Predicate
121	أَهْرَقَ	1	مُهْرَقٌ	Predicate
122	أَهِلَ	1	مَأْهُولٌ	Predicate
123	أَهَّلَ	1	مُؤَهَّلٌ	Predicate
124	أَهْمَلَ	1	مُهْمَلٌ	Predicate
125	أَوْثَقَ	1	مُوثَقٌ	Predicate
126	أَوْجَبَ	1	مُوجَبٌ	Predicate
127	أَوْجَزَ	1	مُوجَزٌ	Predicate
128	أَوْحَى	1	مُوحىً	Predicate
129	أَوْدَعَ	1	مُودَعٌ	Predicate
130	أَوْصَى	1	مُوصىً	Predicate
131	أَوْفَدَ	1	مُوفَدٌ	Predicate
132	أَوْلَعَ	1	مُولَعٌ	Predicate
133	أَوْمَأَ	1	مُومَأٌ	Predicate
134	أَوْهَنَ	1	مُوهَنٌ	Predicate
135	أَيَّدَ	1	مُؤَيَّدٌ	Predicate
136	اِئْتَمَنَ	1	مُؤْتَمَنٌ	Predicate
137	ابتدع	1	مُبتدَعٌ	Predicate
138	اِبْتَذَلَ	1	مُبْتَذَلٌ	Predicate
139	اِبْتَسَرَ	1	مُبْتَسَرٌ	Predicate
140	اِبْتَغَى	1	مُبْتَغىً	Predicate
141	اِبْتَكَرَ	1	مُبْتَكَرٌ	Predicate
